Subject,Predicate,Object
"Claude Monet and the ""Birth"" of Impressionism",rdf:type,Podcast
"Claude Monet and the ""Birth"" of Impressionism",rdf:type,Audio
"Claude Monet and the ""Birth"" of Impressionism",dcterms:creator,"State of Arts: Claude Monet and the ""Birth"" of Impressionism"
"Claude Monet and the ""Birth"" of Impressionism",fabio:hasLanguage,English
"Claude Monet and the ""Birth"" of Impressionism",rico:creationDate,Monday/Oct. 06/2014
"Claude Monet and the ""Birth"" of Impressionism",dcterms:publisher,Apple iTunes
"Claude Monet and the ""Birth"" of Impressionism",dcterms:subject,Visual Arts
"Claude Monet and the ""Birth"" of Impressionism",dcterms:extent,33 minutes 31 seconds
"Claude Monet and the ""Birth"" of Impressionism",dcterms:contributor,Dr. Sarah C. Schaefer
"Claude Monet and the ""Birth"" of Impressionism",dcterms:contributor,Dr. Tina Rivers Ryan
